,factchecker,democrat_false,republican_false,sum,left_leaning
0,Aaron Marshall,0.11764705882352941,0.2647058823529412,0.38235294117647056,1
1,Aaron Sharockman,0.1459227467811159,0.2875536480686695,0.4334763948497854,1
2,Adam Aton,0.0,0.5,0.5,1
3,Adam Reckamp,0.0,0.5,0.5,1
4,Adam Thorp,0.0,0.2857142857142857,0.2857142857142857,1
5,Adriel Bettelheim,0.2,0.12,0.32,0
6,Ahmed Elbenni,0.0,0.5,0.5,1
7,Alan Gathright,0.10714285714285714,0.35714285714285715,0.4642857142857143,1
8,Alan Hovorka,0.0,0.2,0.2,1
9,Aleissa Bleyl,1.0,0.0,1.0,0
10,Alex Holt,0.1111111111111111,0.1111111111111111,0.2222222222222222,0
11,Alex Kuffner,0.12121212121212122,0.18181818181818182,0.30303030303030304,1
12,Alex Leary,1.0,0.0,1.0,0
13,Alexander Lane,0.05970149253731343,0.2537313432835821,0.31343283582089554,1
14,Alison Dirr,0.2,0.4,0.6,1
15,Allie Morris,0.21428571428571427,0.21428571428571427,0.42857142857142855,0
16,Allison Colburn,0.16666666666666666,0.8333333333333334,1.0,1
17,Allison Garfield,0.0,0.5,0.5,1
18,Allison Graves,0.18691588785046728,0.3925233644859813,0.5794392523364486,1
19,Amy Hollyfield,0.2,0.0,0.2,0
20,Amy Sherman,0.19472913616398244,0.3718887262079063,0.5666178623718887,1
21,Analisa Trofimuk,0.0,0.6666666666666666,0.6666666666666666,1
22,Andra Lim,0.5,0.5,1.0,0
23,Andrew Kessel,0.0,0.3333333333333333,0.3333333333333333,1
24,Angie Drobnic Holan,0.15892420537897312,0.23471882640586797,0.39364303178484106,1
25,Anja Martin,0.0,0.3333333333333333,0.3333333333333333,1
26,Anna Bruzgulis,0.14285714285714285,0.2857142857142857,0.42857142857142855,1
27,Anna Groves,1.0,0.0,1.0,0
28,Anna Maples,1.0,0.0,1.0,0
29,Anna Orso,0.20833333333333334,0.125,0.3333333333333333,0
30,Anna Peterson,0.0,1.0,1.0,1
31,Anne Wallace Allen,0.0,1.0,1.0,1
32,Anthony Cave,0.037037037037037035,0.48148148148148145,0.5185185185185185,1
33,April Hunt,0.19230769230769232,0.21153846153846154,0.40384615384615385,1
34,Ariella Phillips,0.25,0.25,0.5,0
35,Asher Price,0.0,1.0,1.0,1
36,Bartholomew Sullivan,0.0625,0.5625,0.625,1
37,Becky Bowers,0.16058394160583941,0.291970802919708,0.45255474452554745,1
38,Benjamin Brink,0.0,1.0,1.0,1
39,Bill Adair,0.18055555555555555,0.18055555555555555,0.3611111111111111,0
40,Bill McCarthy,0.11538461538461539,0.4153846153846154,0.5307692307692308,1
41,Bill Wichert,0.23684210526315788,0.27631578947368424,0.5131578947368421,1
42,Bob Secter,0.0,1.0,1.0,1
43,Bobby Cervantes,0.16666666666666666,0.16666666666666666,0.3333333333333333,0
44,Brad Schmidt,1.0,0.0,1.0,0
45,Brandon Blackwell,0.6666666666666666,0.3333333333333333,1.0,0
46,Brandon Mulder,0.025,0.525,0.55,1
47,Brent Walth,1.0,0.0,1.0,0
48,Brett Chase,0.0,0.6666666666666666,0.6666666666666666,1
49,Brittany Alana Davis,0.0,0.16666666666666666,0.16666666666666666,1
50,Broghan Swart,1.0,0.0,1.0,0
51,C. Eugene Emery Jr.,0.18820224719101122,0.15730337078651685,0.3455056179775281,0
52,Caitlyn Rosen,1.0,0.0,1.0,0
53,Caleb McCullough,0.25,0.0,0.25,0
54,Cara Lombardo,0.18181818181818182,0.18181818181818182,0.36363636363636365,0
55,Carmen Heredia Rodriguez,0.0,1.0,1.0,1
56,Carol Rosenberg,0.0,0.25,0.25,1
