,factchecker,demo_false_proportion,repub_false_proportion,sentiment_score,topic_score
0,Aaron Marshall,0.2666666666666666,0.4736842105263157,-0.5023156026514565,0.8270928806669318
1,Aaron Sharockman,0.430379746835443,0.4437086092715231,-0.6929586888126238,0.8110960290715087
2,Adam Aton,0.0,1.0,-0.9952205618222556,0.7040919011484098
3,Adam Reckamp,0.0,1.0,-0.4909826815128326,0.8650303536323831
4,Adam Thorp,0.0,0.6666666666666666,-0.849485627242497,0.7377936202977103
5,Adriel Bettelheim,0.3571428571428571,0.3,-0.633330833678152,0.8394751357959837
6,Ahmed Elbenni,0.0,1.0,-0.993607997894287,0.7288115360169083
7,Alan Gathright,0.3333333333333333,0.6666666666666666,-0.7146662697196007,0.7946092423849892
8,Alan Hovorka,0.0,0.3333333333333333,-0.7818136431954124,0.7490981241141682
9,Alex Holt,0.1666666666666666,0.3333333333333333,-0.5030383169651031,0.7473270670714282
10,Alex Kuffner,0.3076923076923077,0.4615384615384615,-0.6705100774765015,0.7726768158376677
11,Alexander Lane,0.1379310344827586,0.5,-0.6724428565878617,0.7624356215614043
12,Alison Dirr,0.5,0.6666666666666666,-0.5476069688796997,0.8109542940826898
13,Allie Morris,0.375,0.5,-0.4653366080352238,0.7747829161630863
14,Allison Colburn,1.0,1.0,-0.6558760205904642,0.7647699681131234
15,Allison Graves,0.4878048780487805,0.7,-0.7414499277042018,0.7658848232205607
16,Amy Hollyfield,0.5,0.0,-0.7867712811990217,0.7024737754209961
17,Amy Sherman,0.5115384615384615,0.6430379746835443,-0.6836387374195732,0.7725083179810744
18,Analisa Trofimuk,0.0,1.0,-0.7483954876661301,0.698492603297012
19,Andra Lim,1.0,1.0,-0.6626844803492228,0.8326305548464266
20,Andrew Kessel,0.0,0.5,-0.9964812397956848,0.5871800627897491
21,Angie Drobnic Holan,0.3316326530612244,0.4615384615384615,-0.6830051637060556,0.800253442703549
22,Anna Bruzgulis,1.0,0.5714285714285714,-0.712137833237648,0.7511187613497751
23,Anna Orso,0.3846153846153846,0.3333333333333333,-0.6884905188171951,0.7218446545034694
24,Anthony Cave,0.1428571428571428,0.65,-0.7758406306567945,0.7881397690794381
25,April Hunt,0.5,0.3928571428571428,-0.581473576611486,0.819843346935014
26,Ariella Phillips,1.0,0.3333333333333333,-0.7710636734962464,0.77144201876441
27,Bartholomew Sullivan,0.5,0.6923076923076923,-0.5593689046800137,0.8333613555815007
28,Becky Bowers,0.4074074074074074,0.5194805194805194,-0.7259885253650802,0.8030672284758568
29,Bill Adair,0.3513513513513513,0.3939393939393939,-0.7038580165667967,0.8115232973734159
30,Bill McCarthy,0.5172413793103449,0.7397260273972602,-0.7580253423941921,0.6839703109336898
31,Bill Wichert,0.4390243902439024,0.6,-0.6836651629064141,0.8401045749650619
32,Bobby Cervantes,0.3333333333333333,0.3333333333333333,-0.7048242262431553,0.800928858813709
33,Brandon Blackwell,1.0,1.0,-0.9310869971911112,0.7739722048305154
34,Brandon Mulder,0.25,0.6176470588235294,-0.7881264933725682,0.7124221434144711
35,Brett Chase,0.0,0.8,-0.7914702792962393,0.75488823362903
36,Brittany Alana Davis,0.0,0.3333333333333333,-0.6584192713101705,0.7195930876283669
37,C. Eugene Emery Jr.,0.4466666666666666,0.56,-0.7130406997611175,0.7819466935796757
38,Caleb McCullough,0.5,0.0,-0.7656873822212219,0.8025360629398571
39,Cara Lombardo,0.6666666666666666,0.3333333333333333,-0.8551655899394642,0.7995359314535048
40,Carol Rosenberg,0.0,1.0,-0.6930573806166649,0.7833495913234759
41,Cary Spivak,0.5,0.0,-0.7968473196029663,0.8397462516710599
42,Caryn Shinske,0.25,0.4680851063829787,-0.589890020062225,0.8287586574860449
43,Cassidey Kavathas,0.0,0.5,-0.9833749135335283,0.8048195049909932
44,Cassie Owens,0.3333333333333333,0.5,-0.678485531359911,0.7824529396472487
45,Catharine Richert,0.3888888888888889,0.4864864864864865,-0.7154353234620221,0.7344460925190195
46,Charles Pope,0.125,0.3333333333333333,-0.7684998260094569,0.849709823054894
47,Chris Nichols,0.3809523809523809,0.7222222222222222,-0.7078708977039371,0.7206971832773098
48,Christian Belanger,0.2,0.5,-0.8523150483767191,0.7983061402879669
49,Ciara O'Rourke,0.2765957446808511,0.4235294117647059,-0.7502385733821573,0.6544784492068706
50,Clara Hendrickson,0.6,0.9285714285714286,-0.8390103127017166,0.6690016579266382
51,Claudia Breaux,1.0,1.0,-0.4244684278964996,0.9714832231609105
52,Clay Wirestone,0.3333333333333333,0.3636363636363636,-0.5489837328592936,0.8395567691760452
53,Clayton Youngman,0.0,1.0,-0.8156391829252243,0.6891138104052231
54,Colin Deppen,0.5,0.7142857142857143,-0.6613998015721639,0.6997725243664997
55,Colin Meyn,0.3333333333333333,0.5,-0.8246601555082533,0.7948508215100629
56,Conner Smith,0.5,1.0,-0.9699287712574004,0.853251724297585
57,Cristina Silva,0.0,0.75,-0.5876427412033081,0.8403322650638516
